SiteCode,TimePoint,NO2_obs
1071A,2019/1/14 8:00,88
1072A,2019/1/14 8:00,101
1073A,2019/1/14 8:00,102
1074A,2019/1/14 8:00,66
1075A,2019/1/14 8:00,61
1077A,2019/1/14 8:00,93
1078A,2019/1/14 8:00,60
1079A,2019/1/14 8:00,62
1080A,2019/1/14 8:00,99
1081A,2019/1/14 8:00,78
1083A,2019/1/14 8:00,41
1084A,2019/1/14 8:00,94
1085A,2019/1/14 8:00,91
1086A,2019/1/14 8:00,74
1087A,2019/1/14 8:00,76
1088A,2019/1/14 8:00,66
1089A,2019/1/14 8:00,89
1090A,2019/1/14 8:00,59
1091A,2019/1/14 8:00,79
1092A,2019/1/14 8:00,86
1093A,2019/1/14 8:00,70
1094A,2019/1/14 8:00,64
1095A,2019/1/14 8:00,71
1096A,2019/1/14 8:00,70
1097A,2019/1/14 8:00,63
1098A,2019/1/14 8:00,54
1099A,2019/1/14 8:00,58
1100A,2019/1/14 8:00,61
1102A,2019/1/14 8:00,58
1103A,2019/1/14 8:00,71
1104A,2019/1/14 8:00,72
1105A,2019/1/14 8:00,60
1106A,2019/1/14 8:00,72
1108A,2019/1/14 8:00,68
1109A,2019/1/14 8:00,62
1110A,2019/1/14 8:00,58
1111A,2019/1/14 8:00,56
1112A,2019/1/14 8:00,73
1113A,2019/1/14 8:00,33
1114A,2019/1/14 8:00,41
1115A,2019/1/14 8:00,47
1116A,2019/1/14 8:00,46
1117A,2019/1/14 8:00,67
1118A,2019/1/14 8:00,30
1119A,2019/1/14 8:00,56
1120A,2019/1/14 8:00,68
1121A,2019/1/14 8:00,61
1122A,2019/1/14 8:00,52
1124A,2019/1/14 8:00,33
1125A,2019/1/14 8:00,43
1126A,2019/1/14 8:00,49
1127A,2019/1/14 8:00,49
1128A,2019/1/14 8:00,55
1129A,2019/1/14 8:00,80
1130A,2019/1/14 8:00,62
1131A,2019/1/14 8:00,41
1132A,2019/1/14 8:00,59
1133A,2019/1/14 8:00,83
1134A,2019/1/14 8:00,76
1135A,2019/1/14 8:00,74
1136A,2019/1/14 8:00,73
1137A,2019/1/14 8:00,81
1138A,2019/1/14 8:00,42
1139A,2019/1/14 8:00,36
1140A,2019/1/14 8:00,67
1141A,2019/1/14 8:00,91
1143A,2019/1/14 8:00,105
1144A,2019/1/14 8:00,98
1145A,2019/1/14 8:00,92
1146A,2019/1/14 8:00,60
1147A,2019/1/14 8:00,98
1148A,2019/1/14 8:00,97
1149A,2019/1/14 8:00,93
1150A,2019/1/14 8:00,86
1151A,2019/1/14 8:00,58
1152A,2019/1/14 8:00,61
1153A,2019/1/14 8:00,64
1154A,2019/1/14 8:00,73
1155A,2019/1/14 8:00,68
1156A,2019/1/14 8:00,62
1157A,2019/1/14 8:00,57
1158A,2019/1/14 8:00,80
1159A,2019/1/14 8:00,2
1160A,2019/1/14 8:00,61
1161A,2019/1/14 8:00,79
1162A,2019/1/14 8:00,58
1163A,2019/1/14 8:00,77
1164A,2019/1/14 8:00,65
1165A,2019/1/14 8:00,77
1166A,2019/1/14 8:00,66
1167A,2019/1/14 8:00,65
1168A,2019/1/14 8:00,63
1169A,2019/1/14 8:00,67
1170A,2019/1/14 8:00,40
1171A,2019/1/14 8:00,61
1172A,2019/1/14 8:00,78
1173A,2019/1/14 8:00,60
1177A,2019/1/14 8:00,52
1178A,2019/1/14 8:00,62
1180A,2019/1/14 8:00,40
1181A,2019/1/14 8:00,58
1182A,2019/1/14 8:00,54
1186A,2019/1/14 8:00,56
