SiteCode,TimePoint,NO2_obs
1031A,2019/1/14 13:00,139
1032A,2019/1/14 13:00,134
1033A,2019/1/14 13:00,127
1034A,2019/1/14 13:00,124
1035A,2019/1/14 13:00,52
1036A,2019/1/14 13:00,80
1037A,2019/1/14 13:00,70
1038A,2019/1/14 13:00,70
1039A,2019/1/14 13:00,80
1041A,2019/1/14 13:00,75
1042A,2019/1/14 13:00,87
1043A,2019/1/14 13:00,89
1044A,2019/1/14 13:00,92
1047A,2019/1/14 13:00,67
1048A,2019/1/14 13:00,58
1049A,2019/1/14 13:00,53
1050A,2019/1/14 13:00,71
1051A,2019/1/14 13:00,75
1052A,2019/1/14 13:00,80
1053A,2019/1/14 13:00,75
1054A,2019/1/14 13:00,70
1055A,2019/1/14 13:00,70
1056A,2019/1/14 13:00,81
1057A,2019/1/14 13:00,28
1059A,2019/1/14 13:00,37
1060A,2019/1/14 13:00,47
1061A,2019/1/14 13:00,7
1062A,2019/1/14 13:00,44
1063A,2019/1/14 13:00,39
1064A,2019/1/14 13:00,44
1065A,2019/1/14 13:00,100
1066A,2019/1/14 13:00,36
1067A,2019/1/14 13:00,63
1068A,2019/1/14 13:00,85
1070A,2019/1/14 13:00,71
1071A,2019/1/14 13:00,59
1072A,2019/1/14 13:00,83
1073A,2019/1/14 13:00,76
1074A,2019/1/14 13:00,58
1075A,2019/1/14 13:00,48
1078A,2019/1/14 13:00,88
1079A,2019/1/14 13:00,80
1080A,2019/1/14 13:00,107
1081A,2019/1/14 13:00,81
1083A,2019/1/14 13:00,30
1084A,2019/1/14 13:00,76
1085A,2019/1/14 13:00,80
1086A,2019/1/14 13:00,80
1087A,2019/1/14 13:00,110
1088A,2019/1/14 13:00,62
1089A,2019/1/14 13:00,80
1090A,2019/1/14 13:00,9
1091A,2019/1/14 13:00,23
1092A,2019/1/14 13:00,9
1093A,2019/1/14 13:00,5
1094A,2019/1/14 13:00,13
1095A,2019/1/14 13:00,18
1096A,2019/1/14 13:00,10
1097A,2019/1/14 13:00,17
1098A,2019/1/14 13:00,48
1099A,2019/1/14 13:00,62
1100A,2019/1/14 13:00,60
1102A,2019/1/14 13:00,74
1103A,2019/1/14 13:00,91
1104A,2019/1/14 13:00,65
1105A,2019/1/14 13:00,77
1106A,2019/1/14 13:00,67
1108A,2019/1/14 13:00,65
1109A,2019/1/14 13:00,40
1110A,2019/1/14 13:00,30
1111A,2019/1/14 13:00,23
1112A,2019/1/14 13:00,48
1113A,2019/1/14 13:00,30
1115A,2019/1/14 13:00,31
1116A,2019/1/14 13:00,26
1117A,2019/1/14 13:00,33
1118A,2019/1/14 13:00,20
1120A,2019/1/14 13:00,67
1121A,2019/1/14 13:00,59
1122A,2019/1/14 13:00,40
1123A,2019/1/14 13:00,58
1124A,2019/1/14 13:00,29
1125A,2019/1/14 13:00,31
1126A,2019/1/14 13:00,35
1127A,2019/1/14 13:00,33
1128A,2019/1/14 13:00,30
1129A,2019/1/14 13:00,54
1130A,2019/1/14 13:00,51
1131A,2019/1/14 13:00,48
1132A,2019/1/14 13:00,45
1133A,2019/1/14 13:00,70
1134A,2019/1/14 13:00,53
1135A,2019/1/14 13:00,73
1136A,2019/1/14 13:00,61
1137A,2019/1/14 13:00,64
1138A,2019/1/14 13:00,37
1139A,2019/1/14 13:00,52
1140A,2019/1/14 13:00,49
1141A,2019/1/14 13:00,50
1142A,2019/1/14 13:00,43
1143A,2019/1/14 13:00,45
1144A,2019/1/14 13:00,41
1145A,2019/1/14 13:00,36
1146A,2019/1/14 13:00,65
1147A,2019/1/14 13:00,55
1148A,2019/1/14 13:00,27
1149A,2019/1/14 13:00,27
1150A,2019/1/14 13:00,27
1151A,2019/1/14 13:00,68
1152A,2019/1/14 13:00,64
1153A,2019/1/14 13:00,66
1154A,2019/1/14 13:00,50
1155A,2019/1/14 13:00,49
1156A,2019/1/14 13:00,65
1157A,2019/1/14 13:00,59
1158A,2019/1/14 13:00,66
1159A,2019/1/14 13:00,45
1160A,2019/1/14 13:00,69
1161A,2019/1/14 13:00,81
1163A,2019/1/14 13:00,60
1164A,2019/1/14 13:00,81
1165A,2019/1/14 13:00,71
1166A,2019/1/14 13:00,70
1167A,2019/1/14 13:00,41
1168A,2019/1/14 13:00,19
1169A,2019/1/14 13:00,28
1170A,2019/1/14 13:00,14
1171A,2019/1/14 13:00,27
1172A,2019/1/14 13:00,25
1173A,2019/1/14 13:00,68
1177A,2019/1/14 13:00,33
1180A,2019/1/14 13:00,32
1181A,2019/1/14 13:00,43
1182A,2019/1/14 13:00,45
1186A,2019/1/14 13:00,33
1188A,2019/1/14 13:00,56
1189A,2019/1/14 13:00,53
1190A,2019/1/14 13:00,43
1191A,2019/1/14 13:00,57
1192A,2019/1/14 13:00,53
1193A,2019/1/14 13:00,58
1194A,2019/1/14 13:00,56
1195A,2019/1/14 13:00,43
1196A,2019/1/14 13:00,72
1200A,2019/1/14 13:00,70
1201A,2019/1/14 13:00,54
1203A,2019/1/14 13:00,33
1204A,2019/1/14 13:00,50
1205A,2019/1/14 13:00,50
1206A,2019/1/14 13:00,46
1207A,2019/1/14 13:00,35
1209A,2019/1/14 13:00,52
1210A,2019/1/14 13:00,29
1211A,2019/1/14 13:00,42
1212A,2019/1/14 13:00,32
1213A,2019/1/14 13:00,33
1214A,2019/1/14 13:00,36
1215A,2019/1/14 13:00,32
1216A,2019/1/14 13:00,24
1218A,2019/1/14 13:00,18
1220A,2019/1/14 13:00,37
1221A,2019/1/14 13:00,35
1223A,2019/1/14 13:00,58
1224A,2019/1/14 13:00,70
1225A,2019/1/14 13:00,27
1226A,2019/1/14 13:00,60
1228A,2019/1/14 13:00,56
1229A,2019/1/14 13:00,60
1230A,2019/1/14 13:00,77
1231A,2019/1/14 13:00,38
1232A,2019/1/14 13:00,61
1233A,2019/1/14 13:00,70
1234A,2019/1/14 13:00,63
1235A,2019/1/14 13:00,71
1236A,2019/1/14 13:00,48
1237A,2019/1/14 13:00,78
1239A,2019/1/14 13:00,59
1240A,2019/1/14 13:00,81
1241A,2019/1/14 13:00,65
1242A,2019/1/14 13:00,48
1243A,2019/1/14 13:00,52
1244A,2019/1/14 13:00,61
1245A,2019/1/14 13:00,49
1246A,2019/1/14 13:00,60
1247A,2019/1/14 13:00,55
1250A,2019/1/14 13:00,64
1252A,2019/1/14 13:00,63
1253A,2019/1/14 13:00,62
1255A,2019/1/14 13:00,44
1256A,2019/1/14 13:00,47
1257A,2019/1/14 13:00,54
1258A,2019/1/14 13:00,50
1259A,2019/1/14 13:00,15
1260A,2019/1/14 13:00,16
1262A,2019/1/14 13:00,47
1263A,2019/1/14 13:00,41
1264A,2019/1/14 13:00,32
1265A,2019/1/14 13:00,27
1266A,2019/1/14 13:00,38
1267A,2019/1/14 13:00,29
1268A,2019/1/14 13:00,35
1269A,2019/1/14 13:00,27
1270A,2019/1/14 13:00,62
1271A,2019/1/14 13:00,57
1272A,2019/1/14 13:00,38
1273A,2019/1/14 13:00,48
1274A,2019/1/14 13:00,60
1275A,2019/1/14 13:00,56
1276A,2019/1/14 13:00,44
1277A,2019/1/14 13:00,59
1278A,2019/1/14 13:00,58
1279A,2019/1/14 13:00,52
1280A,2019/1/14 13:00,31
1282A,2019/1/14 13:00,29
1283A,2019/1/14 13:00,24
1284A,2019/1/14 13:00,25
1285A,2019/1/14 13:00,24
1286A,2019/1/14 13:00,13
1287A,2019/1/14 13:00,14
1288A,2019/1/14 13:00,13
1290A,2019/1/14 13:00,49
1291A,2019/1/14 13:00,41
1292A,2019/1/14 13:00,30
1293A,2019/1/14 13:00,32
1294A,2019/1/14 13:00,46
1295A,2019/1/14 13:00,44
1296A,2019/1/14 13:00,25
1298A,2019/1/14 13:00,38
1299A,2019/1/14 13:00,87
1300A,2019/1/14 13:00,80
1301A,2019/1/14 13:00,143
1303A,2019/1/14 13:00,104
1304A,2019/1/14 13:00,87
1305A,2019/1/14 13:00,111
1306A,2019/1/14 13:00,83
1307A,2019/1/14 13:00,37
1308A,2019/1/14 13:00,64
1309A,2019/1/14 13:00,85
1310A,2019/1/14 13:00,82
1311A,2019/1/14 13:00,66
1312A,2019/1/14 13:00,52
1313A,2019/1/14 13:00,69
1314A,2019/1/14 13:00,104
1315A,2019/1/14 13:00,101
1316A,2019/1/14 13:00,93
1317A,2019/1/14 13:00,114
1318A,2019/1/14 13:00,78
1319A,2019/1/14 13:00,84
1320A,2019/1/14 13:00,81
1321A,2019/1/14 13:00,76
1322A,2019/1/14 13:00,98
1323A,2019/1/14 13:00,101
1324A,2019/1/14 13:00,64
1325A,2019/1/14 13:00,59
1326A,2019/1/14 13:00,56
1327A,2019/1/14 13:00,50
1328A,2019/1/14 13:00,55
1329A,2019/1/14 13:00,39
1330A,2019/1/14 13:00,52
1331A,2019/1/14 13:00,42
1333A,2019/1/14 13:00,48
1334A,2019/1/14 13:00,29
1336A,2019/1/14 13:00,35
1337A,2019/1/14 13:00,38
1338A,2019/1/14 13:00,37
1339A,2019/1/14 13:00,39
1340A,2019/1/14 13:00,28
1341A,2019/1/14 13:00,39
1342A,2019/1/14 13:00,38
1343A,2019/1/14 13:00,35
1344A,2019/1/14 13:00,31
1345A,2019/1/14 13:00,83
1346A,2019/1/14 13:00,69
1348A,2019/1/14 13:00,45
1349A,2019/1/14 13:00,41
1350A,2019/1/14 13:00,60
1351A,2019/1/14 13:00,26
1352A,2019/1/14 13:00,76
1353A,2019/1/14 13:00,15
1354A,2019/1/14 13:00,58
1355A,2019/1/14 13:00,24
1356A,2019/1/14 13:00,29
1357A,2019/1/14 13:00,37
1358A,2019/1/14 13:00,41
1359A,2019/1/14 13:00,35
1360A,2019/1/14 13:00,30
1361A,2019/1/14 13:00,22
1362A,2019/1/14 13:00,36
1363A,2019/1/14 13:00,11
1364A,2019/1/14 13:00,9
1365A,2019/1/14 13:00,19
1367A,2019/1/14 13:00,34
1368A,2019/1/14 13:00,30
1369A,2019/1/14 13:00,41
1370A,2019/1/14 13:00,25
1371A,2019/1/14 13:00,85
1372A,2019/1/14 13:00,68
1373A,2019/1/14 13:00,77
1374A,2019/1/14 13:00,92
1375A,2019/1/14 13:00,91
1376A,2019/1/14 13:00,48
1377A,2019/1/14 13:00,34
1378A,2019/1/14 13:00,30
1379A,2019/1/14 13:00,87
1380A,2019/1/14 13:00,87
1381A,2019/1/14 13:00,84
1382A,2019/1/14 13:00,76
1383A,2019/1/14 13:00,54
1384A,2019/1/14 13:00,74
1385A,2019/1/14 13:00,72
1386A,2019/1/14 13:00,66
1387A,2019/1/14 13:00,24
1388A,2019/1/14 13:00,26
1389A,2019/1/14 13:00,23
1390A,2019/1/14 13:00,33
1391A,2019/1/14 13:00,41
1392A,2019/1/14 13:00,27
1393A,2019/1/14 13:00,33
1394A,2019/1/14 13:00,18
1395A,2019/1/14 13:00,38
1396A,2019/1/14 13:00,20
1397A,2019/1/14 13:00,37
1398A,2019/1/14 13:00,47
1400A,2019/1/14 13:00,39
1508A,2019/1/14 13:00,29
1511A,2019/1/14 13:00,43
1512A,2019/1/14 13:00,40
1513A,2019/1/14 13:00,54
1514A,2019/1/14 13:00,44
1515A,2019/1/14 13:00,34
1518A,2019/1/14 13:00,41
1519A,2019/1/14 13:00,43
1520A,2019/1/14 13:00,37
1524A,2019/1/14 13:00,46
1559A,2019/1/14 13:00,38
1562A,2019/1/14 13:00,34
1564A,2019/1/14 13:00,21
1596A,2019/1/14 13:00,46
1597A,2019/1/14 13:00,59
1598A,2019/1/14 13:00,35
1599A,2019/1/14 13:00,31
1600A,2019/1/14 13:00,32
1601A,2019/1/14 13:00,40
1602A,2019/1/14 13:00,46
1603A,2019/1/14 13:00,57
1604A,2019/1/14 13:00,29
1605A,2019/1/14 13:00,35
1606A,2019/1/14 13:00,26
1607A,2019/1/14 13:00,46
1608A,2019/1/14 13:00,58
1609A,2019/1/14 13:00,61
1610A,2019/1/14 13:00,64
1611A,2019/1/14 13:00,10
1612A,2019/1/14 13:00,13
1613A,2019/1/14 13:00,19
1614A,2019/1/14 13:00,10
1616A,2019/1/14 13:00,93
1618A,2019/1/14 13:00,105
1620A,2019/1/14 13:00,90
1621A,2019/1/14 13:00,112
1622A,2019/1/14 13:00,50
1624A,2019/1/14 13:00,44
1625A,2019/1/14 13:00,37
1627A,2019/1/14 13:00,50
1628A,2019/1/14 13:00,79
1629A,2019/1/14 13:00,76
1630A,2019/1/14 13:00,80
1631A,2019/1/14 13:00,88
1632A,2019/1/14 13:00,90
1633A,2019/1/14 13:00,13
1634A,2019/1/14 13:00,66
1635A,2019/1/14 13:00,90
1636A,2019/1/14 13:00,89
1637A,2019/1/14 13:00,78
1638A,2019/1/14 13:00,76
1639A,2019/1/14 13:00,89
1640A,2019/1/14 13:00,35
1641A,2019/1/14 13:00,48
1642A,2019/1/14 13:00,45
1643A,2019/1/14 13:00,51
1644A,2019/1/14 13:00,69
1645A,2019/1/14 13:00,55
1646A,2019/1/14 13:00,47
1648A,2019/1/14 13:00,70
1650A,2019/1/14 13:00,78
1652A,2019/1/14 13:00,82
1653A,2019/1/14 13:00,56
1655A,2019/1/14 13:00,56
1656A,2019/1/14 13:00,93
1657A,2019/1/14 13:00,102
1658A,2019/1/14 13:00,107
1659A,2019/1/14 13:00,60
1660A,2019/1/14 13:00,69
1661A,2019/1/14 13:00,43
1662A,2019/1/14 13:00,39
1663A,2019/1/14 13:00,58
1664A,2019/1/14 13:00,50
1665A,2019/1/14 13:00,57
1666A,2019/1/14 13:00,44
1667A,2019/1/14 13:00,58
1669A,2019/1/14 13:00,20
1670A,2019/1/14 13:00,21
1671A,2019/1/14 13:00,25
1672A,2019/1/14 13:00,19
1673A,2019/1/14 13:00,26
1674A,2019/1/14 13:00,20
1675A,2019/1/14 13:00,16
1676A,2019/1/14 13:00,14
1677A,2019/1/14 13:00,22
1678A,2019/1/14 13:00,14
1679A,2019/1/14 13:00,25
1690A,2019/1/14 13:00,32
1691A,2019/1/14 13:00,32
1692A,2019/1/14 13:00,29
1693A,2019/1/14 13:00,16
1694A,2019/1/14 13:00,20
1695A,2019/1/14 13:00,15
1696A,2019/1/14 13:00,13
1697A,2019/1/14 13:00,15
1698A,2019/1/14 13:00,12
1702A,2019/1/14 13:00,18
1703A,2019/1/14 13:00,27
1705A,2019/1/14 13:00,26
1706A,2019/1/14 13:00,22
1708A,2019/1/14 13:00,25
1709A,2019/1/14 13:00,35
1710A,2019/1/14 13:00,29
1711A,2019/1/14 13:00,27
1712A,2019/1/14 13:00,40
1713A,2019/1/14 13:00,47
1714A,2019/1/14 13:00,43
1718A,2019/1/14 13:00,39
1719A,2019/1/14 13:00,30
1720A,2019/1/14 13:00,34
1721A,2019/1/14 13:00,25
1723A,2019/1/14 13:00,46
1724A,2019/1/14 13:00,49
1725A,2019/1/14 13:00,32
1726A,2019/1/14 13:00,26
1727A,2019/1/14 13:00,61
1728A,2019/1/14 13:00,60
1730A,2019/1/14 13:00,63
1731A,2019/1/14 13:00,54
1733A,2019/1/14 13:00,89
1734A,2019/1/14 13:00,90
1735A,2019/1/14 13:00,83
1736A,2019/1/14 13:00,92
1737A,2019/1/14 13:00,105
1738A,2019/1/14 13:00,50
1739A,2019/1/14 13:00,55
1740A,2019/1/14 13:00,46
1741A,2019/1/14 13:00,66
1742A,2019/1/14 13:00,54
1743A,2019/1/14 13:00,44
1744A,2019/1/14 13:00,19
1745A,2019/1/14 13:00,28
1746A,2019/1/14 13:00,13
1748A,2019/1/14 13:00,27
1749A,2019/1/14 13:00,28
1750A,2019/1/14 13:00,27
1751A,2019/1/14 13:00,28
1752A,2019/1/14 13:00,23
1753A,2019/1/14 13:00,28
1754A,2019/1/14 13:00,25
1755A,2019/1/14 13:00,74
1756A,2019/1/14 13:00,69
1757A,2019/1/14 13:00,58
1758A,2019/1/14 13:00,83
1759A,2019/1/14 13:00,45
1760A,2019/1/14 13:00,20
1761A,2019/1/14 13:00,85
1762A,2019/1/14 13:00,79
1763A,2019/1/14 13:00,78
1764A,2019/1/14 13:00,92
1765A,2019/1/14 13:00,85
1766A,2019/1/14 13:00,66
1767A,2019/1/14 13:00,61
1768A,2019/1/14 13:00,59
1770A,2019/1/14 13:00,58
1771A,2019/1/14 13:00,66
1772A,2019/1/14 13:00,49
1773A,2019/1/14 13:00,36
1774A,2019/1/14 13:00,36
1775A,2019/1/14 13:00,49
1776A,2019/1/14 13:00,28
1778A,2019/1/14 13:00,22
1779A,2019/1/14 13:00,20
1780A,2019/1/14 13:00,26
1781A,2019/1/14 13:00,30
1782A,2019/1/14 13:00,17
1783A,2019/1/14 13:00,32
1784A,2019/1/14 13:00,36
1785A,2019/1/14 13:00,38
1786A,2019/1/14 13:00,32
1787A,2019/1/14 13:00,33
1788A,2019/1/14 13:00,23
1789A,2019/1/14 13:00,30
1790A,2019/1/14 13:00,51
1791A,2019/1/14 13:00,35
1792A,2019/1/14 13:00,40
1793A,2019/1/14 13:00,39
1794A,2019/1/14 13:00,61
1795A,2019/1/14 13:00,47
1796A,2019/1/14 13:00,70
1797A,2019/1/14 13:00,56
1798A,2019/1/14 13:00,53
1799A,2019/1/14 13:00,51
1800A,2019/1/14 13:00,47
1801A,2019/1/14 13:00,48
1802A,2019/1/14 13:00,45
1803A,2019/1/14 13:00,38
1804A,2019/1/14 13:00,45
1805A,2019/1/14 13:00,34
1806A,2019/1/14 13:00,21
1808A,2019/1/14 13:00,45
1809A,2019/1/14 13:00,28
1811A,2019/1/14 13:00,72
1812A,2019/1/14 13:00,63
1814A,2019/1/14 13:00,79
1815A,2019/1/14 13:00,86
1816A,2019/1/14 13:00,76
1817A,2019/1/14 13:00,82
1818A,2019/1/14 13:00,43
1819A,2019/1/14 13:00,55
1820A,2019/1/14 13:00,54
1822A,2019/1/14 13:00,73
1824A,2019/1/14 13:00,44
1825A,2019/1/14 13:00,44
1826A,2019/1/14 13:00,52
1828A,2019/1/14 13:00,84
1829A,2019/1/14 13:00,89
1830A,2019/1/14 13:00,106
1831A,2019/1/14 13:00,44
1832A,2019/1/14 13:00,52
1833A,2019/1/14 13:00,49
1834A,2019/1/14 13:00,44
1835A,2019/1/14 13:00,98
1836A,2019/1/14 13:00,93
1838A,2019/1/14 13:00,96
1839A,2019/1/14 13:00,30
1840A,2019/1/14 13:00,35
1841A,2019/1/14 13:00,25
1842A,2019/1/14 13:00,21
1843A,2019/1/14 13:00,35
1844A,2019/1/14 13:00,44
1845A,2019/1/14 13:00,42
1847A,2019/1/14 13:00,32
1848A,2019/1/14 13:00,48
1849A,2019/1/14 13:00,47
1850A,2019/1/14 13:00,35
1851A,2019/1/14 13:00,43
1852A,2019/1/14 13:00,37
1854A,2019/1/14 13:00,33
1862A,2019/1/14 13:00,11
1959A,2019/1/14 13:00,85
1960A,2019/1/14 13:00,105
1961A,2019/1/14 13:00,104
1962A,2019/1/14 13:00,107
1963A,2019/1/14 13:00,71
1964A,2019/1/14 13:00,82
1965A,2019/1/14 13:00,70
1966A,2019/1/14 13:00,51
1968A,2019/1/14 13:00,75
1969A,2019/1/14 13:00,34
1970A,2019/1/14 13:00,33
1971A,2019/1/14 13:00,63
1972A,2019/1/14 13:00,75
1973A,2019/1/14 13:00,55
1974A,2019/1/14 13:00,47
1975A,2019/1/14 13:00,54
1976A,2019/1/14 13:00,38
1978A,2019/1/14 13:00,68
1979A,2019/1/14 13:00,40
1980A,2019/1/14 13:00,48
1981A,2019/1/14 13:00,40
1982A,2019/1/14 13:00,45
1983A,2019/1/14 13:00,34
1984A,2019/1/14 13:00,35
1985A,2019/1/14 13:00,70
1987A,2019/1/14 13:00,51
1988A,2019/1/14 13:00,44
1989A,2019/1/14 13:00,33
1990A,2019/1/14 13:00,47
1991A,2019/1/14 13:00,43
1992A,2019/1/14 13:00,44
1993A,2019/1/14 13:00,37
1994A,2019/1/14 13:00,45
1995A,2019/1/14 13:00,33
1996A,2019/1/14 13:00,25
1997A,2019/1/14 13:00,40
1998A,2019/1/14 13:00,34
1999A,2019/1/14 13:00,55
2000A,2019/1/14 13:00,58
2001A,2019/1/14 13:00,52
2002A,2019/1/14 13:00,40
2003A,2019/1/14 13:00,51
2004A,2019/1/14 13:00,71
2006A,2019/1/14 13:00,62
2007A,2019/1/14 13:00,45
2008A,2019/1/14 13:00,19
2010A,2019/1/14 13:00,33
2013A,2019/1/14 13:00,31
2014A,2019/1/14 13:00,46
2017A,2019/1/14 13:00,47
2018A,2019/1/14 13:00,24
2031A,2019/1/14 13:00,42
2054A,2019/1/14 13:00,25
2064A,2019/1/14 13:00,17
2065A,2019/1/14 13:00,24
2066A,2019/1/14 13:00,25
2067A,2019/1/14 13:00,28
2068A,2019/1/14 13:00,30
2069A,2019/1/14 13:00,33
2070A,2019/1/14 13:00,29
2074A,2019/1/14 13:00,26
2075A,2019/1/14 13:00,20
2160A,2019/1/14 13:00,68
2161A,2019/1/14 13:00,72
2162A,2019/1/14 13:00,73
2163A,2019/1/14 13:00,62
2164A,2019/1/14 13:00,81
2165A,2019/1/14 13:00,44
2166A,2019/1/14 13:00,15
2167A,2019/1/14 13:00,11
2168A,2019/1/14 13:00,23
2169A,2019/1/14 13:00,27
2170A,2019/1/14 13:00,20
2171A,2019/1/14 13:00,70
2173A,2019/1/14 13:00,60
2174A,2019/1/14 13:00,71
2179A,2019/1/14 13:00,48
2180A,2019/1/14 13:00,81
2181A,2019/1/14 13:00,77
2182A,2019/1/14 13:00,69
2189A,2019/1/14 13:00,15
2190A,2019/1/14 13:00,26
2191A,2019/1/14 13:00,13
2192A,2019/1/14 13:00,10
2197A,2019/1/14 13:00,12
2200A,2019/1/14 13:00,13
2201A,2019/1/14 13:00,5
2202A,2019/1/14 13:00,4
2203A,2019/1/14 13:00,5
2207A,2019/1/14 13:00,25
2208A,2019/1/14 13:00,30
2209A,2019/1/14 13:00,30
2210A,2019/1/14 13:00,33
2211A,2019/1/14 13:00,28
2212A,2019/1/14 13:00,38
2213A,2019/1/14 13:00,68
2214A,2019/1/14 13:00,65
2215A,2019/1/14 13:00,56
2216A,2019/1/14 13:00,51
2217A,2019/1/14 13:00,38
2218A,2019/1/14 13:00,43
2219A,2019/1/14 13:00,46
2220A,2019/1/14 13:00,31
2221A,2019/1/14 13:00,25
2222A,2019/1/14 13:00,26
2223A,2019/1/14 13:00,33
2224A,2019/1/14 13:00,29
2225A,2019/1/14 13:00,29
2226A,2019/1/14 13:00,25
2227A,2019/1/14 13:00,29
2228A,2019/1/14 13:00,20
2229A,2019/1/14 13:00,28
2230A,2019/1/14 13:00,36
2231A,2019/1/14 13:00,17
2232A,2019/1/14 13:00,33
2233A,2019/1/14 13:00,7
2234A,2019/1/14 13:00,16
2235A,2019/1/14 13:00,14
2236A,2019/1/14 13:00,11
2237A,2019/1/14 13:00,49
2238A,2019/1/14 13:00,56
2239A,2019/1/14 13:00,44
2240A,2019/1/14 13:00,95
2241A,2019/1/14 13:00,90
2242A,2019/1/14 13:00,54
2243A,2019/1/14 13:00,50
2244A,2019/1/14 13:00,26
2245A,2019/1/14 13:00,29
2246A,2019/1/14 13:00,32
2247A,2019/1/14 13:00,12
2248A,2019/1/14 13:00,21
2249A,2019/1/14 13:00,27
2250A,2019/1/14 13:00,42
2251A,2019/1/14 13:00,18
2252A,2019/1/14 13:00,27
2253A,2019/1/14 13:00,15
2255A,2019/1/14 13:00,19
2256A,2019/1/14 13:00,26
2257A,2019/1/14 13:00,28
2258A,2019/1/14 13:00,32
2259A,2019/1/14 13:00,20
2260A,2019/1/14 13:00,59
2261A,2019/1/14 13:00,28
2262A,2019/1/14 13:00,17
2266A,2019/1/14 13:00,48
2267A,2019/1/14 13:00,30
2270A,2019/1/14 13:00,29
2271A,2019/1/14 13:00,36
2272A,2019/1/14 13:00,31
2273A,2019/1/14 13:00,66
2274A,2019/1/14 13:00,37
2275A,2019/1/14 13:00,50
2277A,2019/1/14 13:00,14
2278A,2019/1/14 13:00,49
2279A,2019/1/14 13:00,39
2280A,2019/1/14 13:00,28
2281A,2019/1/14 13:00,7
2282A,2019/1/14 13:00,42
2283A,2019/1/14 13:00,37
2284A,2019/1/14 13:00,34
2285A,2019/1/14 13:00,39
2286A,2019/1/14 13:00,43
2287A,2019/1/14 13:00,36
2288A,2019/1/14 13:00,49
2289A,2019/1/14 13:00,42
2290A,2019/1/14 13:00,41
2291A,2019/1/14 13:00,48
2292A,2019/1/14 13:00,30
2295A,2019/1/14 13:00,27
2296A,2019/1/14 13:00,18
2297A,2019/1/14 13:00,16
2298A,2019/1/14 13:00,37
2299A,2019/1/14 13:00,31
2300A,2019/1/14 13:00,31
2301A,2019/1/14 13:00,20
2303A,2019/1/14 13:00,23
2305A,2019/1/14 13:00,6
2306A,2019/1/14 13:00,29
2307A,2019/1/14 13:00,31
2308A,2019/1/14 13:00,49
2309A,2019/1/14 13:00,56
2310A,2019/1/14 13:00,28
2311A,2019/1/14 13:00,26
2312A,2019/1/14 13:00,31
2314A,2019/1/14 13:00,60
2315A,2019/1/14 13:00,46
2316A,2019/1/14 13:00,68
2317A,2019/1/14 13:00,54
2318A,2019/1/14 13:00,79
2319A,2019/1/14 13:00,17
2320A,2019/1/14 13:00,13
2321A,2019/1/14 13:00,23
2322A,2019/1/14 13:00,19
2323A,2019/1/14 13:00,14
2324A,2019/1/14 13:00,18
2325A,2019/1/14 13:00,17
2326A,2019/1/14 13:00,18
2327A,2019/1/14 13:00,19
2331A,2019/1/14 13:00,6
2332A,2019/1/14 13:00,14
2333A,2019/1/14 13:00,12
2334A,2019/1/14 13:00,20
2335A,2019/1/14 13:00,15
2336A,2019/1/14 13:00,16
2337A,2019/1/14 13:00,27
2338A,2019/1/14 13:00,24
2339A,2019/1/14 13:00,39
2340A,2019/1/14 13:00,52
2341A,2019/1/14 13:00,49
2342A,2019/1/14 13:00,6
2343A,2019/1/14 13:00,8
2344A,2019/1/14 13:00,7
2345A,2019/1/14 13:00,16
2346A,2019/1/14 13:00,9
2347A,2019/1/14 13:00,12
2348A,2019/1/14 13:00,34
2349A,2019/1/14 13:00,22
2350A,2019/1/14 13:00,17
2351A,2019/1/14 13:00,20
2352A,2019/1/14 13:00,16
2353A,2019/1/14 13:00,18
2354A,2019/1/14 13:00,37
2355A,2019/1/14 13:00,36
2356A,2019/1/14 13:00,40
2357A,2019/1/14 13:00,18
2358A,2019/1/14 13:00,31
2359A,2019/1/14 13:00,23
2360A,2019/1/14 13:00,37
2361A,2019/1/14 13:00,36
2362A,2019/1/14 13:00,14
2363A,2019/1/14 13:00,23
2364A,2019/1/14 13:00,24
2365A,2019/1/14 13:00,28
2366A,2019/1/14 13:00,33
2367A,2019/1/14 13:00,27
2368A,2019/1/14 13:00,22
2369A,2019/1/14 13:00,29
2370A,2019/1/14 13:00,26
2371A,2019/1/14 13:00,24
2373A,2019/1/14 13:00,39
2374A,2019/1/14 13:00,45
2375A,2019/1/14 13:00,39
2376A,2019/1/14 13:00,28
2377A,2019/1/14 13:00,25
2378A,2019/1/14 13:00,35
2379A,2019/1/14 13:00,33
2380A,2019/1/14 13:00,17
2381A,2019/1/14 13:00,28
2382A,2019/1/14 13:00,26
2383A,2019/1/14 13:00,29
2384A,2019/1/14 13:00,27
2385A,2019/1/14 13:00,64
2386A,2019/1/14 13:00,38
2387A,2019/1/14 13:00,51
2389A,2019/1/14 13:00,47
2390A,2019/1/14 13:00,61
2391A,2019/1/14 13:00,74
2392A,2019/1/14 13:00,37
2394A,2019/1/14 13:00,36
2395A,2019/1/14 13:00,39
2396A,2019/1/14 13:00,40
2398A,2019/1/14 13:00,39
2399A,2019/1/14 13:00,24
2400A,2019/1/14 13:00,25
2401A,2019/1/14 13:00,22
2402A,2019/1/14 13:00,25
2403A,2019/1/14 13:00,47
2404A,2019/1/14 13:00,49
