NO2,station_code,pubtime 
24,2054A,2019/1/14 12:00
19,2064A,2019/1/14 12:00
25,2065A,2019/1/14 12:00
25,2066A,2019/1/14 12:00
26,2067A,2019/1/14 12:00
30,2068A,2019/1/14 12:00
31,2069A,2019/1/14 12:00
26,2070A,2019/1/14 12:00
28,2074A,2019/1/14 12:00
36,2075A,2019/1/14 12:00
66,2160A,2019/1/14 12:00
72,2161A,2019/1/14 12:00
68,2162A,2019/1/14 12:00
74,2163A,2019/1/14 12:00
82,2164A,2019/1/14 12:00
48,2165A,2019/1/14 12:00
37,2166A,2019/1/14 12:00
32,2167A,2019/1/14 12:00
48,2168A,2019/1/14 12:00
56,2169A,2019/1/14 12:00
31,2170A,2019/1/14 12:00
67,2171A,2019/1/14 12:00
52,2173A,2019/1/14 12:00
63,2174A,2019/1/14 12:00
54,2179A,2019/1/14 12:00
92,2180A,2019/1/14 12:00
79,2181A,2019/1/14 12:00
75,2182A,2019/1/14 12:00
22,2189A,2019/1/14 12:00
26,2190A,2019/1/14 12:00
14,2191A,2019/1/14 12:00
13,2192A,2019/1/14 12:00
16,2197A,2019/1/14 12:00
,2199A,2019/1/14 12:00
13,2200A,2019/1/14 12:00
5,2201A,2019/1/14 12:00
3,2202A,2019/1/14 12:00
5,2203A,2019/1/14 12:00
36,2207A,2019/1/14 12:00
36,2208A,2019/1/14 12:00
31,2209A,2019/1/14 12:00
41,2210A,2019/1/14 12:00
32,2211A,2019/1/14 12:00
45,2212A,2019/1/14 12:00
70,2213A,2019/1/14 12:00
63,2214A,2019/1/14 12:00
64,2215A,2019/1/14 12:00
58,2216A,2019/1/14 12:00
44,2217A,2019/1/14 12:00
47,2218A,2019/1/14 12:00
48,2219A,2019/1/14 12:00
32,2220A,2019/1/14 12:00
26,2221A,2019/1/14 12:00
28,2222A,2019/1/14 12:00
35,2223A,2019/1/14 12:00
37,2224A,2019/1/14 12:00
33,2225A,2019/1/14 12:00
32,2226A,2019/1/14 12:00
31,2227A,2019/1/14 12:00
44,2228A,2019/1/14 12:00
33,2229A,2019/1/14 12:00
40,2230A,2019/1/14 12:00
16,2231A,2019/1/14 12:00
40,2232A,2019/1/14 12:00
8,2233A,2019/1/14 12:00
17,2234A,2019/1/14 12:00
14,2235A,2019/1/14 12:00
11,2236A,2019/1/14 12:00
64,2237A,2019/1/14 12:00
58,2238A,2019/1/14 12:00
32,2239A,2019/1/14 12:00
92,2240A,2019/1/14 12:00
86,2241A,2019/1/14 12:00
55,2242A,2019/1/14 12:00
,2243A,2019/1/14 12:00
29,2244A,2019/1/14 12:00
27,2245A,2019/1/14 12:00
31,2246A,2019/1/14 12:00
19,2247A,2019/1/14 12:00
23,2248A,2019/1/14 12:00
30,2249A,2019/1/14 12:00
40,2250A,2019/1/14 12:00
20,2251A,2019/1/14 12:00
27,2252A,2019/1/14 12:00
21,2253A,2019/1/14 12:00
19,2255A,2019/1/14 12:00
30,2256A,2019/1/14 12:00
27,2257A,2019/1/14 12:00
32,2258A,2019/1/14 12:00
18,2259A,2019/1/14 12:00
67,2260A,2019/1/14 12:00
29,2261A,2019/1/14 12:00
19,2262A,2019/1/14 12:00
48,2266A,2019/1/14 12:00
28,2267A,2019/1/14 12:00
31,2270A,2019/1/14 12:00
41,2271A,2019/1/14 12:00
32,2272A,2019/1/14 12:00
65,2273A,2019/1/14 12:00
35,2274A,2019/1/14 12:00
53,2275A,2019/1/14 12:00
8,2277A,2019/1/14 12:00
55,2278A,2019/1/14 12:00
40,2279A,2019/1/14 12:00
23,2280A,2019/1/14 12:00
4,2281A,2019/1/14 12:00
55,2282A,2019/1/14 12:00
42,2283A,2019/1/14 12:00
46,2284A,2019/1/14 12:00
42,2285A,2019/1/14 12:00
44,2286A,2019/1/14 12:00
39,2287A,2019/1/14 12:00
52,2288A,2019/1/14 12:00
45,2289A,2019/1/14 12:00
44,2290A,2019/1/14 12:00
42,2291A,2019/1/14 12:00
31,2292A,2019/1/14 12:00
,2294A,2019/1/14 12:00
23,2295A,2019/1/14 12:00
18,2296A,2019/1/14 12:00
12,2297A,2019/1/14 12:00
41,2298A,2019/1/14 12:00
35,2299A,2019/1/14 12:00
39,2300A,2019/1/14 12:00
17,2301A,2019/1/14 12:00
24,2303A,2019/1/14 12:00
8,2305A,2019/1/14 12:00
30,2306A,2019/1/14 12:00
31,2307A,2019/1/14 12:00
49,2308A,2019/1/14 12:00
57,2309A,2019/1/14 12:00
22,2310A,2019/1/14 12:00
21,2311A,2019/1/14 12:00
29,2312A,2019/1/14 12:00
40,2314A,2019/1/14 12:00
41,2315A,2019/1/14 12:00
71,2316A,2019/1/14 12:00
59,2317A,2019/1/14 12:00
82,2318A,2019/1/14 12:00
18,2319A,2019/1/14 12:00
13,2320A,2019/1/14 12:00
35,2321A,2019/1/14 12:00
23,2322A,2019/1/14 12:00
14,2323A,2019/1/14 12:00
17,2324A,2019/1/14 12:00
17,2325A,2019/1/14 12:00
18,2326A,2019/1/14 12:00
21,2327A,2019/1/14 12:00
6,2331A,2019/1/14 12:00
15,2332A,2019/1/14 12:00
16,2333A,2019/1/14 12:00
20,2334A,2019/1/14 12:00
15,2335A,2019/1/14 12:00
17,2336A,2019/1/14 12:00
22,2337A,2019/1/14 12:00
35,2338A,2019/1/14 12:00
40,2339A,2019/1/14 12:00
52,2340A,2019/1/14 12:00
48,2341A,2019/1/14 12:00
7,2342A,2019/1/14 12:00
12,2343A,2019/1/14 12:00
18,2344A,2019/1/14 12:00
20,2345A,2019/1/14 12:00
15,2346A,2019/1/14 12:00
11,2347A,2019/1/14 12:00
29,2348A,2019/1/14 12:00
29,2349A,2019/1/14 12:00
19,2350A,2019/1/14 12:00
22,2351A,2019/1/14 12:00
18,2352A,2019/1/14 12:00
19,2353A,2019/1/14 12:00
38,2354A,2019/1/14 12:00
45,2355A,2019/1/14 12:00
44,2356A,2019/1/14 12:00
21,2357A,2019/1/14 12:00
32,2358A,2019/1/14 12:00
24,2359A,2019/1/14 12:00
38,2360A,2019/1/14 12:00
37,2361A,2019/1/14 12:00
15,2362A,2019/1/14 12:00
19,2363A,2019/1/14 12:00
19,2364A,2019/1/14 12:00
25,2365A,2019/1/14 12:00
31,2366A,2019/1/14 12:00
33,2367A,2019/1/14 12:00
26,2368A,2019/1/14 12:00
30,2369A,2019/1/14 12:00
28,2370A,2019/1/14 12:00
30,2371A,2019/1/14 12:00
37,2373A,2019/1/14 12:00
41,2374A,2019/1/14 12:00
40,2375A,2019/1/14 12:00
29,2376A,2019/1/14 12:00
26,2377A,2019/1/14 12:00
36,2378A,2019/1/14 12:00
33,2379A,2019/1/14 12:00
16,2380A,2019/1/14 12:00
28,2381A,2019/1/14 12:00
27,2382A,2019/1/14 12:00
32,2383A,2019/1/14 12:00
29,2384A,2019/1/14 12:00
72,2385A,2019/1/14 12:00
37,2386A,2019/1/14 12:00
49,2387A,2019/1/14 12:00
54,2389A,2019/1/14 12:00
68,2390A,2019/1/14 12:00
72,2391A,2019/1/14 12:00
31,2392A,2019/1/14 12:00
34,2394A,2019/1/14 12:00
36,2395A,2019/1/14 12:00
35,2396A,2019/1/14 12:00
37,2398A,2019/1/14 12:00
22,2399A,2019/1/14 12:00
26,2400A,2019/1/14 12:00
22,2401A,2019/1/14 12:00
24,2402A,2019/1/14 12:00
44,2403A,2019/1/14 12:00
48,2404A,2019/1/14 12:00
43,2405A,2019/1/14 12:00
50,2406A,2019/1/14 12:00
32,2407A,2019/1/14 12:00
23,2408A,2019/1/14 12:00
25,2409A,2019/1/14 12:00
27,2410A,2019/1/14 12:00
27,2411A,2019/1/14 12:00
26,2420A,2019/1/14 12:00
21,2421A,2019/1/14 12:00
28,2422A,2019/1/14 12:00
66,2423A,2019/1/14 12:00
63,2424A,2019/1/14 12:00
47,2426A,2019/1/14 12:00
52,2427A,2019/1/14 12:00
17,2428A,2019/1/14 12:00
59,2431A,2019/1/14 12:00
49,2432A,2019/1/14 12:00
42,2433A,2019/1/14 12:00
37,2434A,2019/1/14 12:00
40,2435A,2019/1/14 12:00
,2436A,2019/1/14 12:00
47,2437A,2019/1/14 12:00
28,2438A,2019/1/14 12:00
31,2439A,2019/1/14 12:00
39,2440A,2019/1/14 12:00
34,2441A,2019/1/14 12:00
6,2443A,2019/1/14 12:00
18,2444A,2019/1/14 12:00
36,2446A,2019/1/14 12:00
22,2447A,2019/1/14 12:00
34,2448A,2019/1/14 12:00
39,2449A,2019/1/14 12:00
35,2450A,2019/1/14 12:00
4,2451A,2019/1/14 12:00
25,2452A,2019/1/14 12:00
23,2453A,2019/1/14 12:00
20,2456A,2019/1/14 12:00
34,2457A,2019/1/14 12:00
40,2458A,2019/1/14 12:00
41,2459A,2019/1/14 12:00
43,2460A,2019/1/14 12:00
39,2461A,2019/1/14 12:00
31,2462A,2019/1/14 12:00
37,2463A,2019/1/14 12:00
31,2464A,2019/1/14 12:00
39,2465A,2019/1/14 12:00
37,2466A,2019/1/14 12:00
24,2467A,2019/1/14 12:00
45,2468A,2019/1/14 12:00
,2469A,2019/1/14 12:00
36,2470A,2019/1/14 12:00
42,2471A,2019/1/14 12:00
28,2472A,2019/1/14 12:00
31,2473A,2019/1/14 12:00
22,2474A,2019/1/14 12:00
30,2475A,2019/1/14 12:00
22,2476A,2019/1/14 12:00
28,2477A,2019/1/14 12:00
22,2478A,2019/1/14 12:00
35,2479A,2019/1/14 12:00
26,2480A,2019/1/14 12:00
27,2481A,2019/1/14 12:00
,2487A,2019/1/14 12:00
37,2488A,2019/1/14 12:00
40,2489A,2019/1/14 12:00
14,2490A,2019/1/14 12:00
43,2491A,2019/1/14 12:00
13,2495A,2019/1/14 12:00
22,2496A,2019/1/14 12:00
38,2497A,2019/1/14 12:00
24,2498A,2019/1/14 12:00
17,2514A,2019/1/14 12:00
16,2515A,2019/1/14 12:00
11,2842A,2019/1/14 12:00
88,2845A,2019/1/14 12:00
46,2846A,2019/1/14 12:00
83,2858A,2019/1/14 12:00
68,2859A,2019/1/14 12:00
84,2860A,2019/1/14 12:00
142,2862A,2019/1/14 12:00
62,2865A,2019/1/14 12:00
55,2866A,2019/1/14 12:00
46,2868A,2019/1/14 12:00
34,2869A,2019/1/14 12:00
44,2870A,2019/1/14 12:00
84,2871A,2019/1/14 12:00
60,2872A,2019/1/14 12:00
82,2873A,2019/1/14 12:00
18,2874A,2019/1/14 12:00
33,2875A,2019/1/14 12:00
98,2877A,2019/1/14 12:00
56,2878A,2019/1/14 12:00
57,2897A,2019/1/14 12:00
71,2900A,2019/1/14 12:00
63,2907A,2019/1/14 12:00
33,2916A,2019/1/14 12:00
86,2919A,2019/1/14 12:00
27,2920A,2019/1/14 12:00
50,2921A,2019/1/14 12:00
77,2922A,2019/1/14 12:00
71,2923A,2019/1/14 12:00
31,2929A,2019/1/14 12:00
45,2994A,2019/1/14 12:00
47,2996A,2019/1/14 12:00
46,2997A,2019/1/14 12:00
97,3000A,2019/1/14 12:00
90,3002A,2019/1/14 12:00
59,3003A,2019/1/14 12:00
44,3004A,2019/1/14 12:00
43,3005A,2019/1/14 12:00
35,3006A,2019/1/14 12:00
55,3008A,2019/1/14 12:00
71,3009A,2019/1/14 12:00
87,3010A,2019/1/14 12:00
33,3012A,2019/1/14 12:00
72,3018A,2019/1/14 12:00
67,3020A,2019/1/14 12:00
,3021A,2019/1/14 12:00
84,3022A,2019/1/14 12:00
,3025A,2019/1/14 12:00
36,3026A,2019/1/14 12:00
13,3034A,2019/1/14 12:00
10,3035A,2019/1/14 12:00
40,3036A,2019/1/14 12:00
97,3039A,2019/1/14 12:00
38,3046A,2019/1/14 12:00
22,3048A,2019/1/14 12:00
66,3051A,2019/1/14 12:00
49,3054A,2019/1/14 12:00
54,3057A,2019/1/14 12:00
44,3058A,2019/1/14 12:00
80,3059A,2019/1/14 12:00
13,3061A,2019/1/14 12:00
88,3064A,2019/1/14 12:00
39,3066A,2019/1/14 12:00
29,3131A,2019/1/14 12:00
95,3132A,2019/1/14 12:00
38,3134A,2019/1/14 12:00
37,3138A,2019/1/14 12:00
44,3139A,2019/1/14 12:00
38,3140A,2019/1/14 12:00
48,3141A,2019/1/14 12:00
42,3147A,2019/1/14 12:00
38,3149A,2019/1/14 12:00
39,3151A,2019/1/14 12:00
58,3153A,2019/1/14 12:00
23,3164A,2019/1/14 12:00
82,3169A,2019/1/14 12:00
45,3173A,2019/1/14 12:00
82,3178A,2019/1/14 12:00
77,3185A,2019/1/14 12:00
30,3187A,2019/1/14 12:00
46,3188A,2019/1/14 12:00
31,3190A,2019/1/14 12:00
43,3191A,2019/1/14 12:00
38,3194A,2019/1/14 12:00
34,3195A,2019/1/14 12:00
131,1001A,2019/1/14 13:00
58,1002A,2019/1/14 13:00
110,1003A,2019/1/14 13:00
137,1004A,2019/1/14 13:00
106,1005A,2019/1/14 13:00
104,1006A,2019/1/14 13:00
99,1007A,2019/1/14 13:00
88,1008A,2019/1/14 13:00
63,1009A,2019/1/14 13:00
67,1010A,2019/1/14 13:00
91,1011A,2019/1/14 13:00
71,1012A,2019/1/14 13:00
59,1015A,2019/1/14 13:00
71,1017A,2019/1/14 13:00
79,1018A,2019/1/14 13:00
46,1019A,2019/1/14 13:00
51,1021A,2019/1/14 13:00
109,1023A,2019/1/14 13:00
63,1024A,2019/1/14 13:00
90,1026A,2019/1/14 13:00
52,1027A,2019/1/14 13:00
86,1029A,2019/1/14 13:00
121,1030A,2019/1/14 13:00
139,1031A,2019/1/14 13:00
134,1032A,2019/1/14 13:00
127,1033A,2019/1/14 13:00
124,1034A,2019/1/14 13:00
52,1035A,2019/1/14 13:00
80,1036A,2019/1/14 13:00
70,1037A,2019/1/14 13:00
70,1038A,2019/1/14 13:00
80,1039A,2019/1/14 13:00
,1040A,2019/1/14 13:00
75,1041A,2019/1/14 13:00
87,1042A,2019/1/14 13:00
89,1043A,2019/1/14 13:00
92,1044A,2019/1/14 13:00
,1046A,2019/1/14 13:00
67,1047A,2019/1/14 13:00
58,1048A,2019/1/14 13:00
53,1049A,2019/1/14 13:00
71,1050A,2019/1/14 13:00
75,1051A,2019/1/14 13:00
80,1052A,2019/1/14 13:00
75,1053A,2019/1/14 13:00
70,1054A,2019/1/14 13:00
70,1055A,2019/1/14 13:00
81,1056A,2019/1/14 13:00
28,1057A,2019/1/14 13:00
37,1059A,2019/1/14 13:00
47,1060A,2019/1/14 13:00
7,1061A,2019/1/14 13:00
44,1062A,2019/1/14 13:00
39,1063A,2019/1/14 13:00
44,1064A,2019/1/14 13:00
100,1065A,2019/1/14 13:00
36,1066A,2019/1/14 13:00
63,1067A,2019/1/14 13:00
85,1068A,2019/1/14 13:00
71,1070A,2019/1/14 13:00
59,1071A,2019/1/14 13:00
83,1072A,2019/1/14 13:00
76,1073A,2019/1/14 13:00
58,1074A,2019/1/14 13:00
48,1075A,2019/1/14 13:00
,1077A,2019/1/14 13:00
88,1078A,2019/1/14 13:00
80,1079A,2019/1/14 13:00
107,1080A,2019/1/14 13:00
81,1081A,2019/1/14 13:00
30,1083A,2019/1/14 13:00
76,1084A,2019/1/14 13:00
80,1085A,2019/1/14 13:00
80,1086A,2019/1/14 13:00
110,1087A,2019/1/14 13:00
62,1088A,2019/1/14 13:00
80,1089A,2019/1/14 13:00
9,1090A,2019/1/14 13:00
23,1091A,2019/1/14 13:00
9,1092A,2019/1/14 13:00
5,1093A,2019/1/14 13:00
13,1094A,2019/1/14 13:00
18,1095A,2019/1/14 13:00
10,1096A,2019/1/14 13:00
17,1097A,2019/1/14 13:00
48,1098A,2019/1/14 13:00
62,1099A,2019/1/14 13:00
60,1100A,2019/1/14 13:00
74,1102A,2019/1/14 13:00
91,1103A,2019/1/14 13:00
65,1104A,2019/1/14 13:00
77,1105A,2019/1/14 13:00
67,1106A,2019/1/14 13:00
65,1108A,2019/1/14 13:00
40,1109A,2019/1/14 13:00
30,1110A,2019/1/14 13:00
23,1111A,2019/1/14 13:00
48,1112A,2019/1/14 13:00
30,1113A,2019/1/14 13:00
,1114A,2019/1/14 13:00
31,1115A,2019/1/14 13:00
26,1116A,2019/1/14 13:00
33,1117A,2019/1/14 13:00
20,1118A,2019/1/14 13:00
,1119A,2019/1/14 13:00
67,1120A,2019/1/14 13:00
59,1121A,2019/1/14 13:00
40,1122A,2019/1/14 13:00
58,1123A,2019/1/14 13:00
29,1124A,2019/1/14 13:00
31,1125A,2019/1/14 13:00
35,1126A,2019/1/14 13:00
33,1127A,2019/1/14 13:00
30,1128A,2019/1/14 13:00
54,1129A,2019/1/14 13:00
51,1130A,2019/1/14 13:00
48,1131A,2019/1/14 13:00
45,1132A,2019/1/14 13:00
70,1133A,2019/1/14 13:00
53,1134A,2019/1/14 13:00
73,1135A,2019/1/14 13:00
61,1136A,2019/1/14 13:00
64,1137A,2019/1/14 13:00
37,1138A,2019/1/14 13:00
52,1139A,2019/1/14 13:00
49,1140A,2019/1/14 13:00
50,1141A,2019/1/14 13:00
43,1142A,2019/1/14 13:00
45,1143A,2019/1/14 13:00
41,1144A,2019/1/14 13:00
36,1145A,2019/1/14 13:00
65,1146A,2019/1/14 13:00
55,1147A,2019/1/14 13:00
27,1148A,2019/1/14 13:00
27,1149A,2019/1/14 13:00
27,1150A,2019/1/14 13:00
68,1151A,2019/1/14 13:00
64,1152A,2019/1/14 13:00
66,1153A,2019/1/14 13:00
50,1154A,2019/1/14 13:00
49,1155A,2019/1/14 13:00
65,1156A,2019/1/14 13:00
59,1157A,2019/1/14 13:00
66,1158A,2019/1/14 13:00
45,1159A,2019/1/14 13:00
69,1160A,2019/1/14 13:00
81,1161A,2019/1/14 13:00
,1162A,2019/1/14 13:00
60,1163A,2019/1/14 13:00
81,1164A,2019/1/14 13:00
71,1165A,2019/1/14 13:00
70,1166A,2019/1/14 13:00
41,1167A,2019/1/14 13:00
19,1168A,2019/1/14 13:00
28,1169A,2019/1/14 13:00
14,1170A,2019/1/14 13:00
27,1171A,2019/1/14 13:00
25,1172A,2019/1/14 13:00
68,1173A,2019/1/14 13:00
33,1177A,2019/1/14 13:00
,1178A,2019/1/14 13:00
32,1180A,2019/1/14 13:00
43,1181A,2019/1/14 13:00
45,1182A,2019/1/14 13:00
,1184A,2019/1/14 13:00
33,1186A,2019/1/14 13:00
,1187A,2019/1/14 13:00
56,1188A,2019/1/14 13:00
53,1189A,2019/1/14 13:00
43,1190A,2019/1/14 13:00
57,1191A,2019/1/14 13:00
53,1192A,2019/1/14 13:00
58,1193A,2019/1/14 13:00
56,1194A,2019/1/14 13:00
43,1195A,2019/1/14 13:00
72,1196A,2019/1/14 13:00
70,1200A,2019/1/14 13:00
54,1201A,2019/1/14 13:00
33,1203A,2019/1/14 13:00
50,1204A,2019/1/14 13:00
50,1205A,2019/1/14 13:00
46,1206A,2019/1/14 13:00
35,1207A,2019/1/14 13:00
52,1209A,2019/1/14 13:00
29,1210A,2019/1/14 13:00
42,1211A,2019/1/14 13:00
32,1212A,2019/1/14 13:00
33,1213A,2019/1/14 13:00
36,1214A,2019/1/14 13:00
32,1215A,2019/1/14 13:00
24,1216A,2019/1/14 13:00
18,1218A,2019/1/14 13:00
37,1220A,2019/1/14 13:00
35,1221A,2019/1/14 13:00
58,1223A,2019/1/14 13:00
70,1224A,2019/1/14 13:00
27,1225A,2019/1/14 13:00
60,1226A,2019/1/14 13:00
,1227A,2019/1/14 13:00
56,1228A,2019/1/14 13:00
60,1229A,2019/1/14 13:00
77,1230A,2019/1/14 13:00
38,1231A,2019/1/14 13:00
61,1232A,2019/1/14 13:00
70,1233A,2019/1/14 13:00
63,1234A,2019/1/14 13:00
71,1235A,2019/1/14 13:00
48,1236A,2019/1/14 13:00
78,1237A,2019/1/14 13:00
59,1239A,2019/1/14 13:00
81,1240A,2019/1/14 13:00
65,1241A,2019/1/14 13:00
48,1242A,2019/1/14 13:00
52,1243A,2019/1/14 13:00
61,1244A,2019/1/14 13:00
49,1245A,2019/1/14 13:00
60,1246A,2019/1/14 13:00
55,1247A,2019/1/14 13:00
64,1250A,2019/1/14 13:00
63,1252A,2019/1/14 13:00
62,1253A,2019/1/14 13:00
44,1255A,2019/1/14 13:00
47,1256A,2019/1/14 13:00
54,1257A,2019/1/14 13:00
50,1258A,2019/1/14 13:00
15,1259A,2019/1/14 13:00
16,1260A,2019/1/14 13:00
47,1262A,2019/1/14 13:00
41,1263A,2019/1/14 13:00
32,1264A,2019/1/14 13:00
27,1265A,2019/1/14 13:00
38,1266A,2019/1/14 13:00
29,1267A,2019/1/14 13:00
35,1268A,2019/1/14 13:00
27,1269A,2019/1/14 13:00
62,1270A,2019/1/14 13:00
57,1271A,2019/1/14 13:00
38,1272A,2019/1/14 13:00
48,1273A,2019/1/14 13:00
60,1274A,2019/1/14 13:00
56,1275A,2019/1/14 13:00
44,1276A,2019/1/14 13:00
59,1277A,2019/1/14 13:00
58,1278A,2019/1/14 13:00
52,1279A,2019/1/14 13:00
31,1280A,2019/1/14 13:00
29,1282A,2019/1/14 13:00
24,1283A,2019/1/14 13:00
25,1284A,2019/1/14 13:00
24,1285A,2019/1/14 13:00
13,1286A,2019/1/14 13:00
14,1287A,2019/1/14 13:00
13,1288A,2019/1/14 13:00
49,1290A,2019/1/14 13:00
41,1291A,2019/1/14 13:00
30,1292A,2019/1/14 13:00
32,1293A,2019/1/14 13:00
46,1294A,2019/1/14 13:00
44,1295A,2019/1/14 13:00
25,1296A,2019/1/14 13:00
38,1298A,2019/1/14 13:00
87,1299A,2019/1/14 13:00
80,1300A,2019/1/14 13:00
143,1301A,2019/1/14 13:00
,1302A,2019/1/14 13:00
104,1303A,2019/1/14 13:00
87,1304A,2019/1/14 13:00
111,1305A,2019/1/14 13:00
83,1306A,2019/1/14 13:00
37,1307A,2019/1/14 13:00
64,1308A,2019/1/14 13:00
85,1309A,2019/1/14 13:00
82,1310A,2019/1/14 13:00
66,1311A,2019/1/14 13:00
52,1312A,2019/1/14 13:00
69,1313A,2019/1/14 13:00
104,1314A,2019/1/14 13:00
101,1315A,2019/1/14 13:00
93,1316A,2019/1/14 13:00
114,1317A,2019/1/14 13:00
78,1318A,2019/1/14 13:00
84,1319A,2019/1/14 13:00
81,1320A,2019/1/14 13:00
76,1321A,2019/1/14 13:00
98,1322A,2019/1/14 13:00
101,1323A,2019/1/14 13:00
64,1324A,2019/1/14 13:00
59,1325A,2019/1/14 13:00
56,1326A,2019/1/14 13:00
50,1327A,2019/1/14 13:00
55,1328A,2019/1/14 13:00
39,1329A,2019/1/14 13:00
52,1330A,2019/1/14 13:00
42,1331A,2019/1/14 13:00
48,1333A,2019/1/14 13:00
29,1334A,2019/1/14 13:00
,1335A,2019/1/14 13:00
35,1336A,2019/1/14 13:00
38,1337A,2019/1/14 13:00
37,1338A,2019/1/14 13:00
39,1339A,2019/1/14 13:00
28,1340A,2019/1/14 13:00
39,1341A,2019/1/14 13:00
38,1342A,2019/1/14 13:00
35,1343A,2019/1/14 13:00
31,1344A,2019/1/14 13:00
83,1345A,2019/1/14 13:00
69,1346A,2019/1/14 13:00
45,1348A,2019/1/14 13:00
41,1349A,2019/1/14 13:00
60,1350A,2019/1/14 13:00
26,1351A,2019/1/14 13:00
76,1352A,2019/1/14 13:00
15,1353A,2019/1/14 13:00
58,1354A,2019/1/14 13:00
24,1355A,2019/1/14 13:00
29,1356A,2019/1/14 13:00
37,1357A,2019/1/14 13:00
41,1358A,2019/1/14 13:00
35,1359A,2019/1/14 13:00
30,1360A,2019/1/14 13:00
22,1361A,2019/1/14 13:00
36,1362A,2019/1/14 13:00
11,1363A,2019/1/14 13:00
9,1364A,2019/1/14 13:00
19,1365A,2019/1/14 13:00
,1366A,2019/1/14 13:00
34,1367A,2019/1/14 13:00
30,1368A,2019/1/14 13:00
41,1369A,2019/1/14 13:00
25,1370A,2019/1/14 13:00
85,1371A,2019/1/14 13:00
68,1372A,2019/1/14 13:00
77,1373A,2019/1/14 13:00
92,1374A,2019/1/14 13:00
91,1375A,2019/1/14 13:00
48,1376A,2019/1/14 13:00
34,1377A,2019/1/14 13:00
30,1378A,2019/1/14 13:00
87,1379A,2019/1/14 13:00
87,1380A,2019/1/14 13:00
84,1381A,2019/1/14 13:00
76,1382A,2019/1/14 13:00
54,1383A,2019/1/14 13:00
74,1384A,2019/1/14 13:00
72,1385A,2019/1/14 13:00
66,1386A,2019/1/14 13:00
24,1387A,2019/1/14 13:00
26,1388A,2019/1/14 13:00
23,1389A,2019/1/14 13:00
33,1390A,2019/1/14 13:00
41,1391A,2019/1/14 13:00
27,1392A,2019/1/14 13:00
33,1393A,2019/1/14 13:00
18,1394A,2019/1/14 13:00
38,1395A,2019/1/14 13:00
20,1396A,2019/1/14 13:00
37,1397A,2019/1/14 13:00
47,1398A,2019/1/14 13:00
,1399A,2019/1/14 13:00
39,1400A,2019/1/14 13:00
29,1508A,2019/1/14 13:00
43,1511A,2019/1/14 13:00
40,1512A,2019/1/14 13:00
54,1513A,2019/1/14 13:00
44,1514A,2019/1/14 13:00
34,1515A,2019/1/14 13:00
41,1518A,2019/1/14 13:00
43,1519A,2019/1/14 13:00
37,1520A,2019/1/14 13:00
46,1524A,2019/1/14 13:00
38,1559A,2019/1/14 13:00
34,1562A,2019/1/14 13:00
21,1564A,2019/1/14 13:00
46,1596A,2019/1/14 13:00
59,1597A,2019/1/14 13:00
35,1598A,2019/1/14 13:00
31,1599A,2019/1/14 13:00
32,1600A,2019/1/14 13:00
40,1601A,2019/1/14 13:00
46,1602A,2019/1/14 13:00
57,1603A,2019/1/14 13:00
29,1604A,2019/1/14 13:00
35,1605A,2019/1/14 13:00
26,1606A,2019/1/14 13:00
46,1607A,2019/1/14 13:00
58,1608A,2019/1/14 13:00
61,1609A,2019/1/14 13:00
64,1610A,2019/1/14 13:00
10,1611A,2019/1/14 13:00
13,1612A,2019/1/14 13:00
19,1613A,2019/1/14 13:00
10,1614A,2019/1/14 13:00
93,1616A,2019/1/14 13:00
105,1618A,2019/1/14 13:00
,1619A,2019/1/14 13:00
90,1620A,2019/1/14 13:00
112,1621A,2019/1/14 13:00
50,1622A,2019/1/14 13:00
44,1624A,2019/1/14 13:00
37,1625A,2019/1/14 13:00
50,1627A,2019/1/14 13:00
79,1628A,2019/1/14 13:00
76,1629A,2019/1/14 13:00
80,1630A,2019/1/14 13:00
88,1631A,2019/1/14 13:00
90,1632A,2019/1/14 13:00
13,1633A,2019/1/14 13:00
66,1634A,2019/1/14 13:00
90,1635A,2019/1/14 13:00
89,1636A,2019/1/14 13:00
78,1637A,2019/1/14 13:00
76,1638A,2019/1/14 13:00
89,1639A,2019/1/14 13:00
35,1640A,2019/1/14 13:00
48,1641A,2019/1/14 13:00
45,1642A,2019/1/14 13:00
51,1643A,2019/1/14 13:00
69,1644A,2019/1/14 13:00
55,1645A,2019/1/14 13:00
47,1646A,2019/1/14 13:00
70,1648A,2019/1/14 13:00
78,1650A,2019/1/14 13:00
82,1652A,2019/1/14 13:00
56,1653A,2019/1/14 13:00
,1654A,2019/1/14 13:00
56,1655A,2019/1/14 13:00
93,1656A,2019/1/14 13:00
102,1657A,2019/1/14 13:00
107,1658A,2019/1/14 13:00
60,1659A,2019/1/14 13:00
69,1660A,2019/1/14 13:00
43,1661A,2019/1/14 13:00
39,1662A,2019/1/14 13:00
58,1663A,2019/1/14 13:00
50,1664A,2019/1/14 13:00
57,1665A,2019/1/14 13:00
44,1666A,2019/1/14 13:00
58,1667A,2019/1/14 13:00
20,1669A,2019/1/14 13:00
21,1670A,2019/1/14 13:00
25,1671A,2019/1/14 13:00
19,1672A,2019/1/14 13:00
26,1673A,2019/1/14 13:00
20,1674A,2019/1/14 13:00
16,1675A,2019/1/14 13:00
14,1676A,2019/1/14 13:00
22,1677A,2019/1/14 13:00
14,1678A,2019/1/14 13:00
