NO2,station_code,pubtime 
73,1112A,2019/1/14 8:00
33,1113A,2019/1/14 8:00
41,1114A,2019/1/14 8:00
47,1115A,2019/1/14 8:00
46,1116A,2019/1/14 8:00
67,1117A,2019/1/14 8:00
30,1118A,2019/1/14 8:00
56,1119A,2019/1/14 8:00
68,1120A,2019/1/14 8:00
61,1121A,2019/1/14 8:00
52,1122A,2019/1/14 8:00
,1123A,2019/1/14 8:00
33,1124A,2019/1/14 8:00
43,1125A,2019/1/14 8:00
49,1126A,2019/1/14 8:00
49,1127A,2019/1/14 8:00
55,1128A,2019/1/14 8:00
80,1129A,2019/1/14 8:00
62,1130A,2019/1/14 8:00
41,1131A,2019/1/14 8:00
59,1132A,2019/1/14 8:00
83,1133A,2019/1/14 8:00
76,1134A,2019/1/14 8:00
74,1135A,2019/1/14 8:00
73,1136A,2019/1/14 8:00
81,1137A,2019/1/14 8:00
42,1138A,2019/1/14 8:00
36,1139A,2019/1/14 8:00
67,1140A,2019/1/14 8:00
91,1141A,2019/1/14 8:00
,1142A,2019/1/14 8:00
105,1143A,2019/1/14 8:00
98,1144A,2019/1/14 8:00
92,1145A,2019/1/14 8:00
60,1146A,2019/1/14 8:00
98,1147A,2019/1/14 8:00
97,1148A,2019/1/14 8:00
93,1149A,2019/1/14 8:00
86,1150A,2019/1/14 8:00
58,1151A,2019/1/14 8:00
61,1152A,2019/1/14 8:00
64,1153A,2019/1/14 8:00
73,1154A,2019/1/14 8:00
68,1155A,2019/1/14 8:00
62,1156A,2019/1/14 8:00
57,1157A,2019/1/14 8:00
80,1158A,2019/1/14 8:00
2,1159A,2019/1/14 8:00
61,1160A,2019/1/14 8:00
79,1161A,2019/1/14 8:00
58,1162A,2019/1/14 8:00
77,1163A,2019/1/14 8:00
65,1164A,2019/1/14 8:00
77,1165A,2019/1/14 8:00
66,1166A,2019/1/14 8:00
65,1167A,2019/1/14 8:00
63,1168A,2019/1/14 8:00
67,1169A,2019/1/14 8:00
40,1170A,2019/1/14 8:00
61,1171A,2019/1/14 8:00
78,1172A,2019/1/14 8:00
60,1173A,2019/1/14 8:00
52,1177A,2019/1/14 8:00
62,1178A,2019/1/14 8:00
40,1180A,2019/1/14 8:00
58,1181A,2019/1/14 8:00
54,1182A,2019/1/14 8:00
