source_index,SiteCode,TimePoint,factor_index,NO2,NO2_obs
0,1080A,2019-01-14 08:00:00,0,63.213722229003906,99.0
0,1081A,2019-01-14 08:00:00,0,77.2389907836914,78.0
0,1083A,2019-01-14 08:00:00,0,24.14139175415039,41.0
0,1084A,2019-01-14 08:00:00,0,59.88078689575195,94.0
0,1085A,2019-01-14 08:00:00,0,78.9254150390625,91.0
0,1086A,2019-01-14 08:00:00,0,77.2389907836914,74.0
0,1087A,2019-01-14 08:00:00,0,78.9254150390625,76.0
0,1088A,2019-01-14 08:00:00,0,77.15098571777344,66.0
0,1089A,2019-01-14 08:00:00,0,50.4946403503418,89.0
0,1090A,2019-01-14 08:00:00,0,65.18748474121094,59.0
0,1091A,2019-01-14 08:00:00,0,65.18748474121094,79.0
0,1092A,2019-01-14 08:00:00,0,65.18748474121094,86.0
0,1093A,2019-01-14 08:00:00,0,65.18748474121094,70.0
0,1094A,2019-01-14 08:00:00,0,65.18748474121094,64.0
0,1095A,2019-01-14 08:00:00,0,65.18748474121094,71.0
0,1096A,2019-01-14 08:00:00,0,65.18748474121094,70.0
